item,Sloc,Unit,FunctionalLoc,Description,lv
1,BIC-99,BAGGING PP3,BIC-99-0393W03,DIGITAL WEIGHT BIC(PP3),0
2,BIC-99,BAGGING PP3,BIC-99-0393W04,DIGITAL WEIGHT BIC(PP3),0
3,BIC-99,BAGGING PP3,BIC-99-0393W05,DIGITAL WEIGHT BIC(PP3),0
4,BIC-99,BAGGING PP3,BIC-99-0393W07,DIGITAL WEIGHT BIC(PP3),0
5,BIC-99,BAGGING PP3,BIC-99-0393W08,DIGITAL WEIGHT,0
6,BIC-99,BAGGING PP3,BIC-99-0393W09,DIGITAL WEIGHT,0
7,BIC-99,BAGGING PP3,BIC-99-99A010A,LC BAGGING MACHINE,0
8,BIC-99,BAGGING PP3,BIC-99-99A010B,LC BAGGING MACHINE,0
9,BIC-99,BAGGING PPE,BIC-99-99A010C,BAGGING MACHINE,0
10,BIC-99,BAGGING PPE,BIC-99-99A010D,BAGGING MACHINE,0
11,BIC-99,BAGGING PP3,BIC-99-99A020A,LC PALLETIZER,0
12,BIC-99,BAGGING PP3,BIC-99-99A020B,LC PALLETIZER,0
13,BIC-99,BAGGING PPE,BIC-99-99A020C,PALLETIZER,0
14,BIC-99,BAGGING PPE,BIC-99-99A020D,PALLETIZER,0
15,BIC-99,BAGGING PP3,BIC-99-99A030A,WRAPPING MACHINE,0
16,BIC-99,BAGGING PP3,BIC-99-99A030B,LC STRETCH FILM WRAPPER,0
17,BIC-99,BAGGING PPE,BIC-99-99A030C,STRETCH FILM WRAPPER PPE LINE C,0
18,BIC-99,BAGGING PPE,BIC-99-99A030D,STRETCH FILM WRAPPER PPE LINE D,0
19,BIC-99,BAGGING PPE,BIC-99-99A040,CHAIN CONVEYOR,0
20,BIC-99,BAGGING PPE,BIC-99-99A040C,UP-DOWN CONVEYOR,0
21,BIC-99,BAGGING PPE,BIC-99-99A040D,UP-DOWN CONVEYOR,0
22,BIC-99,BAGGING PP3,BIC-99-99A050A,DE DUSTER,0
23,BIC-99,BAGGING PP3,BIC-99-99A050B,DE DUSTER,0
24,BIC-99,BAGGING PP3,BIC-99-99F020A,DUST COLLECTOR,0
25,BIC-99,BAGGING PP3,BIC-99-99F020B,DUST COLLECTOR,0
26,BIC-99,BAGGING PP3,BIC-99-99H010A,LC TRANSPORT BELT (INCLINED),0
27,BIC-99,BAGGING PP3,BIC-99-99H010B,LC TRANSPORT BELT (INCLINED),0
28,BIC-99,BAGGING PP3,BIC-99-99H011A,LC PRESS BELT,0
29,BIC-99,BAGGING PP3,BIC-99-99H011B,LC PRESS BELT,0
30,BIC-99,BAGGING PP3,BIC-99-99H012A,LC TRANSPORT BELT (CURVE),0
31,BIC-99,BAGGING PP3,BIC-99-99H012B,LC TRANSPORT BELT (CURVE),0
