item,FunctionalLoc,FunctionalLoc2,DescriptionFunctionalLoc2,Lv
1,BIC-99-0393W03,BIC-99WD01,DIGITAL WEIGHT BIC(PP3),1
2,BIC-99-0393W04,BIC-99WD02,DIGITAL WEIGHT BIC(PP3),1
3,BIC-99-0393W05,BIC-99WD03,DIGITAL WEIGHT BIC(PP3),1
4,BIC-99-0393W07,BIC-99WD04,DIGITAL WEIGHT BIC(PP3),1
5,BIC-99-0393W08,BIC-99WD05,DIGITAL WEIGHT,1
6,BIC-99-0393W09,BIC-99WD06,DIGITAL WEIGHT,1
7,BIC-99-99A010A,BIC-99A010A-CB01,BAGGING CONTROL CABINET LINE A,1
8,BIC-99-99A010A,BIC-99A010A-MS10G6,MOTOR FOR COIL UNWINDING RIGHT,1
9,BIC-99-99A010A,BIC-99A010A-MS11G6,MOTOR FOR MACHINE ROLLER,1
10,BIC-99-99A010A,BIC-99A010A-MS14T8,MOTOR FOR PENDULUM EMPTY BAG,1
11,BIC-99-99A010A,BIC-99A010A-MS15T8,MOTOR FOR PENDULUM FULL BAG,1
12,BIC-99-99A010A,BIC-99A010A-MS16T8,MOTOR FOR FILM UNWINDING,1
13,BIC-99-99A010A,BIC-99A010A-MS17T8,MOTOR FOR COIL TRANSPORT,1
14,BIC-99-99A010A,BIC-99A010A-MS26C7,MOTOR FOR BLOWER BAG OPENER SUCTION CURS,1
15,BIC-99-99A010A,BIC-99A010A-MS26E7,MOTOR FOR UNLOAD BELT,1
16,BIC-99-99A010A,BIC-99A010A-MS26M7,MOTOR FOR MOUTH BAG COOLING,1
17,BIC-99-99A010A,BIC-99A010A-MS26P7,MOTOR FOR ROLLER ASCENT/DESCENT,1
18,BIC-99-99A010A,BIC-99A010A-MS28C6,MOTOR FOR DEDUSING,1
19,BIC-99-99A010A,BIC-99A010A-MS30C6,MOTOR FOR HYDRAULIC PUMP LEFT,1
20,BIC-99-99A010A,BIC-99A010A-MS30E6,MOTOR FOR HYDRAULIC PUMP RIGHT,1
21,BIC-99-99A010A,BIC-99A010A-MS9G6,MOTOR FOR COIL UNWINDING LEFT,1
22,BIC-99-99A010A,BIC-99A010A-1G221,GEAR FOR CONTINUOS DRAW 99A010A,1
23,BIC-99-99A010A,BIC-99A010A-1G291,GEAR FOR SPACING CONVEYOR 99A010A,1
24,BIC-99-99A010A,BIC-99A010A-1M221,MOTOR FOR CONTINUOS DRAW 99A010A,1
25,BIC-99-99A010A,BIC-99A010A-1M251,MOTOR FOR INTERMITTED DRAW 99A010A,1
