item,Date,Machine,A,P,Q,OEE,Remark,color,Target,date2
1,2021-06-01,07W118,100,49.22,100,49.22,N/A,#ff0000,85,2021-06-01
2,2021-06-01,08W015,100,76.97,100,76.97,N/A,#ff0000,85,2021-06-01
3,2021-06-01,08W032,100,67.08,100,67.08,N/A,#ff0000,85,2021-06-01
4,2021-06-01,45W021,100,100,100,100,,#059918,85,2021-06-01
5,2021-06-02,07W118,100,77.33,100,77.33,N/A,#ff0000,85,2021-06-02
6,2021-06-02,08W015,100,77.86,100,77.86,N/A,#ff0000,85,2021-06-06
7,2021-06-02,08W032,100,66.18,100,66.18,N/A,#ff0000,85,2021-06-07
8,2021-06-02,45W021,100,87.78,100,87.78,,#059918,85,2021-06-08
9,2021-06-03,07W118,100,76.55,100,76.55,N/A,#ff0000,85,2021-06-09
10,2021-06-03,08W015,100,97.44,100,97.44,,#059918,85,2021-06-10
11,2021-06-03,08W032,100,48.33,100,48.33,N/A,#ff0000,85,2021-06-11
12,2021-06-03,45W021,100,95.73,100,95.73,,#059918,85,2021-06-12
13,2021-06-04,07W118,100,65.61,100,65.61,N/A,#ff0000,85,2021-06-13
14,2021-06-04,08W015,100,84.86,100,84.86,N/A,#ff0000,85,2021-06-14
15,2021-06-04,08W032,100,78.05,100,78.05,N/A,#ff0000,85,2021-06-15
16,2021-06-04,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-06-16
17,2021-06-05,07W118,100,67.85,100,67.85,N/A,#ff0000,85,2021-06-17
18,2021-06-05,08W015,100,81.51,100,81.51,N/A,#ff0000,85,2021-06-18
19,2021-06-05,08W032,100,66.55,100,66.55,N/A,#ff0000,85,2021-06-19
20,2021-06-05,45W021,100,72,100,72,N/A,#ff0000,85,2021-06-20
21,2021-06-06,07W118,100,74.72,100,74.72,N/A,#ff0000,85,2021-06-21
22,2021-06-06,08W015,100,87.06,100,87.06,,#059918,85,2021-06-22
23,2021-06-06,08W032,100,63.69,100,63.69,N/A,#ff0000,85,2021-06-23
24,2021-06-06,45W021,100,77.47,100,77.47,N/A,#ff0000,85,2021-06-24
25,2021-06-07,07W118,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-06-25
26,2021-06-07,08W015,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-06-26
27,2021-06-07,08W032,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-06-27
28,2021-06-07,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-06-28
29,2021-06-08,07W118,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-06-29
30,2021-06-08,08W015,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-06-30
31,2021-06-08,08W032,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-07-01
32,2021-06-08,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-07-02
33,2021-06-09,07W118,100,77.87,100,77.87,N/A,#ff0000,85,2021-07-03
34,2021-06-09,08W015,100,67.7,100,67.7,N/A,#ff0000,85,2021-07-04
35,2021-06-09,08W032,100,60.59,100,60.59,cylinder หัก,#ff0000,85,2021-07-05
36,2021-06-09,45W021,100,95.4,100,95.4,,#059918,85,2021-07-06
